ID;StockRegularProduk;StockAReady;StockABelumReady;ScoreLayananStock;ScoreLayananSales;ScorePKBase;ScoreRetensi;AdaMatpro1;AdaMatpro2;AdaMatpro3;AdaMatpro4
75306;0;30;0;8;9;8;7;Ya;Ya;Tidak;Ya
75321;0;40;0;7;5;5;6;Tidak;Ya;Tidak;Tidak
75322;0;6;0;9;8;8;8;Tidak;Ya;Ya;Tidak
75323;0;21;0;8;8;8;9;Tidak;Ya;Tidak;Tidak
75332;0;7;0;10;9;10;9;Tidak;Ya;Tidak;Tidak
75334;0;10;0;7;7;7;7;Tidak;Ya;Tidak;Tidak
75343;5;6;0;8;9;8;7;Ya;Ya;Tidak;Tidak
75346;0;0;9;5;7;5;5;Tidak;Ya;Tidak;Tidak
75348;0;30;0;8;7;8;9;Ya;Ya;Ya;Tidak
75351;0;0;0;7;7;7;7;Ya;Ya;Ya;Ya
75354;0;10;0;7;7;7;7;Ya;Ya;Tidak;Tidak
75361;10;15;0;8;9;5;8;Ya;Ya;Tidak;Ya
75931;4;6;0;9;10;6;8;Ya;Ya;Tidak;Tidak
75932;0;4;0;9;8;8;7;Tidak;Ya;Tidak;Tidak
75933;6;16;0;7;8;8;6;Ya;Tidak;Tidak;Tidak
76137;0;0;0;8;9;8;8;Tidak;Ya;Tidak;Tidak
76143;6;12;0;9;9;9;5;Ya;Tidak;Tidak;Tidak
76147;4;0;0;7;7;6;7;Ya;Tidak;Tidak;Tidak
76151;0;12;0;9;9;7;9;Ya;Ya;Tidak;Tidak
76153;0;0;0;8;8;5;5;Ya;Ya;Tidak;Tidak
76157;0;12;0;8;8;6;8;Ya;Ya;Tidak;Tidak
76191;10;21;0;9;10;7;10;Ya;Ya;Tidak;Tidak
76195;13;0;0;8;8;8;6;Ya;Ya;Tidak;Tidak
76201;10;16;10;8;8;9;8;Tidak;Ya;Tidak;Tidak
76204;0;0;0;10;10;10;10;Ya;Ya;Tidak;Tidak
76207;0;0;0;8;8;8;8;Tidak;Tidak;Tidak;Tidak
76211;0;0;0;6;7;7;6;Tidak;Tidak;Tidak;Tidak
76220;0;8;0;10;10;10;10;Tidak;Tidak;Tidak;Tidak
76231;0;9;0;8;8;8;8;Ya;Ya;Tidak;Tidak
76233;6;21;0;6;6;6;6;Tidak;Ya;Tidak;Tidak
76300;0;0;0;10;10;10;10;Tidak;Ya;Tidak;Tidak
76305;8;0;0;7;8;6;7;Tidak;Ya;Tidak;Ya
76351;0;69;0;4;2;4;5;Ya;Tidak;Tidak;Tidak
76353;0;1;0;9;9;8;8;Ya;Tidak;Tidak;Tidak
76355;41;43;0;7;8;7;7;Tidak;Ya;Tidak;Ya
76358;9;0;0;10;10;10;10;Tidak;Ya;Ya;Tidak
76575;0;0;0;7;8;9;7;Tidak;Ya;Tidak;Tidak
76576;0;0;0;1;2;1;1;Ya;Ya;Tidak;Tidak
76577;11;0;0;8;8;8;7;Ya;Ya;Tidak;Ya
76579;11;0;0;8;9;7;7;Tidak;Tidak;Tidak;Tidak
76668;3;21;0;8;8;6;1;Ya;Ya;Tidak;Ya
76713;11;0;6;9;9;8;9;Ya;Tidak;Tidak;Tidak
76810;0;0;0;10;10;10;8;Ya;Ya;Tidak;Ya
76812;11;5;0;10;10;10;8;Ya;Ya;Tidak;Tidak
77015;5;1;0;8;9;8;7;Ya;Ya;Tidak;Tidak
77021;13;0;6;8;7;6;9;Ya;Ya;Tidak;Ya
77109;16;0;0;5;5;2;5;Ya;Ya;Tidak;Ya
77111;0;0;2;5;10;8;7;Ya;Ya;Tidak;Ya
77138;8;0;0;8;9;8;7;Ya;Ya;Ya;Tidak
77146;0;0;0;8;7;8;7;Tidak;Ya;Tidak;Tidak
