IDRetailer;Category;StockProdRegular;StockProdA
631;Cat-A;10;0
632;Cat-A;0;0
633;Cat-A;10;0
634;Cat-A;20;0
635;Cat-A;10;0
636;Cat-A;5;0
637;Cat-A;12;0
638;Cat-A;5;2
639;Cat-A;3;3
640;Cat-A;12;15
641;Cat-A;2;2
642;Cat-A;3;3
643;Cat-A;3;2
644;Cat-A;5;4
645;Cat-A;15;15
646;Cat-A;2;2
647;Cat-A;0;0
648;Cat-A;10;10
649;Cat-A;23;20
650;Cat-A;6;6
651;Cat-A;20;15
652;Cat-A;8;3
653;Cat-A;4;3
654;Cat-A;19;23
655;Cat-A;0;0
656;Cat-A;0;0
657;Cat-A;10;8
658;Cat-A;30;25
659;Cat-A;0;0
660;Cat-A;0;0
661;Cat-A;10;5
662;Cat-A;0;0
663;Cat-A;0;0
664;Cat-A;7;5
665;Cat-A;10;6
666;Cat-A;0;1
667;Cat-A;10;0
668;Cat-A;0;0
669;Cat-A;14;0
670;Cat-A;22;0
671;Cat-A;12;0
672;Cat-A;12;0
673;Cat-A;0;0
674;Cat-A;7;0
675;Cat-A;0;0
676;Cat-A;52;0
677;Cat-A;0;0
678;Cat-A;10;0
679;Cat-A;8;0
680;Cat-A;28;0
681;Cat-A;35;0
682;Cat-A;1;0
683;Cat-A;15;0
684;Cat-A;0;0
685;Cat-A;15;0
686;Cat-A;7;0
687;Cat-A;6;0
688;Cat-A;18;0
689;Cat-A;50;0
690;Cat-A;0;0
691;Cat-A;8;0
692;Cat-A;0;0
693;Cat-A;0;0
694;Cat-A;0;0
695;Cat-A;12;0
696;Cat-A;0;0
697;Cat-A;0;0
698;Cat-A;0;0
699;Cat-A;3;8
700;Cat-A;21;10
701;Cat-A;0;0
702;Cat-A;12;15
703;Cat-A;0;0
704;Cat-A;10;0
705;Cat-A;0;21
706;Cat-A;10;2
707;Cat-A;13;31
708;Cat-A;0;10
709;Cat-A;6;6
710;Cat-A;24;25
711;Cat-A;0;1
712;Cat-A;11;2
713;Cat-A;0;6
714;Cat-A;1;3
715;Cat-A;0;0
716;Cat-A;0;8
717;Cat-A;6;8
718;Cat-A;0;0
719;Cat-A;4;0
720;Cat-A;0;0
721;Cat-A;4;8
722;Cat-A;5;11
723;Cat-A;8;6
724;Cat-A;6;17
725;Cat-A;2;0
726;Cat-A;5;0
727;Cat-A;6;0
728;Cat-A;5;2
729;Cat-A;3;0
730;Cat-A;9;0
731;Cat-A;38;0
732;Cat-A;20;0
733;Cat-A;9;0
734;Cat-A;10;0
735;Cat-A;5;14
736;Cat-A;5;0
737;Cat-A;1;0
738;Cat-A;15;3
739;Cat-A;5;0
740;Cat-A;0;2
741;Cat-A;4;2
742;Cat-A;6;0
743;Cat-A;0;0
744;Cat-A;1;0
745;Cat-A;3;0
746;Cat-A;5;0
747;Cat-A;5;0
748;Cat-A;7;8
749;Cat-A;2;0
750;Cat-A;8;0
751;Cat-A;5;0
752;Cat-A;5;0
753;Cat-A;20;0
754;Cat-A;18;0
755;Cat-A;0;0
756;Cat-A;23;20
757;Cat-A;6;0
758;Cat-A;8;0
759;Cat-A;6;1
760;Cat-A;4;0
761;Cat-A;1;1
762;Cat-A;2;2
763;Cat-A;10;0
764;Cat-A;0;0
765;Cat-A;45;50
766;Cat-A;6;10
767;Cat-A;3;11
768;Cat-A;5;2
769;Cat-A;1;1
770;Cat-A;4;4
771;Cat-A;9;0
772;Cat-A;0;0
773;Cat-A;6;0
774;Cat-A;2;0
775;Cat-A;10;2
776;Cat-A;17;0
777;Cat-A;13;0
778;Cat-A;11;0
779;Cat-A;3;0
780;Cat-A;3;0
781;Cat-A;10;0
782;Cat-A;10;0
783;Cat-A;0;0
784;Cat-A;6;0
785;Cat-A;2;1
786;Cat-A;9;0
787;Cat-A;9;0
788;Cat-A;1;0
789;Cat-A;6;0
790;Cat-A;12;15
791;Cat-A;1;1
792;Cat-A;6;5
793;Cat-A;9;15
794;Cat-A;30;35
795;Cat-A;10;0
796;Cat-A;6;6
797;Cat-A;6;1
798;Cat-A;10;0
799;Cat-A;8;0
800;Cat-A;4;0
801;Cat-A;0;13
802;Cat-A;9;0
803;Cat-A;7;0
804;Cat-A;25;0
805;Cat-A;11;0
806;Cat-A;50;6
807;Cat-A;8;0
808;Cat-A;0;0
809;Cat-A;9;0
810;Cat-A;6;0
811;Cat-A;5;0
812;Cat-A;2;0
813;Cat-A;0;0
814;Cat-A;0;0
815;Cat-A;3;0
816;Cat-A;3;0
817;Cat-A;8;0
818;Cat-A;1;0
819;Cat-A;4;0
820;Cat-A;0;0
821;Cat-A;11;0
822;Cat-A;5;7
823;Cat-A;7;7
824;Cat-A;5;6
825;Cat-A;5;15
826;Cat-A;8;20
827;Cat-A;5;20
828;Cat-A;2;0
829;Cat-A;2;0
830;Cat-A;0;8
831;Cat-A;4;2
832;Cat-A;10;24
833;Cat-A;5;2
834;Cat-A;8;11
835;Cat-A;3;8
836;Cat-A;8;12
837;Cat-A;15;16
838;Cat-A;15;25
839;Cat-A;12;15
840;Cat-A;8;7
841;Cat-A;15;10
842;Cat-A;5;6
843;Cat-A;5;8
844;Cat-A;0;3
845;Cat-A;0;1
846;Cat-A;1;1
847;Cat-A;0;6
848;Cat-A;10;16
849;Cat-A;0;1
850;Cat-A;1;0
851;Cat-A;14;15
852;Cat-A;0;0
853;Cat-A;0;0
854;Cat-A;10;10
855;Cat-A;10;15
856;Cat-A;25;10
857;Cat-A;10;0
858;Cat-A;2;1
859;Cat-A;10;15
860;Cat-A;10;0
861;Cat-A;0;0
862;Cat-A;0;0
863;Cat-A;5;0
864;Cat-A;15;10
865;Cat-A;10;2
866;Cat-A;50;10
867;Cat-A;2;0
868;Cat-A;0;0
869;Cat-A;15;5
870;Cat-A;10;0
871;Cat-A;35;10
872;Cat-A;20;25
873;Cat-A;0;0
874;Cat-A;10;0
875;Cat-A;10;5
876;Cat-A;5;2
877;Cat-A;25;12
878;Cat-A;14;3
879;Cat-A;20;13
880;Cat-A;12;5
881;Cat-A;20;23
882;Cat-A;120;45
883;Cat-A;15;7
884;Cat-A;15;15
885;Cat-A;15;5
886;Cat-A;15;8
887;Cat-A;25;5
888;Cat-A;3;2
889;Cat-A;8;5
890;Cat-A;15;2
891;Cat-A;8;45
892;Cat-A;70;5
893;Cat-A;0;10
894;Cat-A;20;3
895;Cat-A;0;0
896;Cat-A;0;0
897;Cat-A;0;0
898;Cat-A;17;5
899;Cat-A;5;2
900;Cat-A;8;3
901;Cat-A;68;82
902;Cat-A;6;0
903;Cat-A;19;0
904;Cat-A;24;4
905;Cat-A;12;1
906;Cat-A;12;0
907;Cat-A;23;20
908;Cat-A;4;7
909;Cat-A;3;0
910;Cat-A;0;0
911;Cat-A;25;30
912;Cat-A;1;1
913;Cat-A;3;0
914;Cat-A;18;4
915;Cat-A;0;0
916;Cat-A;70;55
917;Cat-A;3;7
918;Cat-A;15;3
919;Cat-A;10;0
920;Cat-A;2;2
921;Cat-A;45;20
922;Cat-A;20;0
923;Cat-A;18;0
924;Cat-A;0;85
925;Cat-A;7;0
926;Cat-A;45;0
927;Cat-A;4;0
928;Cat-A;4;2
929;Cat-A;8;0
930;Cat-A;0;12
931;Cat-A;4;4
932;Cat-A;5;15
933;Cat-A;4;10
934;Cat-A;3;10
935;Cat-A;25;38
936;Cat-A;10;25
937;Cat-A;75;375
938;Cat-A;9;67
939;Cat-A;4;5
940;Cat-A;83;175
941;Cat-A;35;15
942;Cat-A;17;15
943;Cat-A;250;500
944;Cat-A;4;15
945;Cat-A;7;35
946;Cat-A;5;13
947;Cat-A;40;57
948;Cat-A;2;8
949;Cat-A;33;25
950;Cat-A;4;11
951;Cat-A;67;19
952;Cat-A;9;10
953;Cat-A;10;17
954;Cat-A;18;24
955;Cat-A;21;14
956;Cat-A;40;120
957;Cat-A;5;15
958;Cat-A;5;5
959;Cat-A;10;17
960;Cat-A;8;20
961;Cat-A;3;15
962;Cat-A;4;20
963;Cat-A;5;31
964;Cat-A;2;0
965;Cat-A;0;0
966;Cat-A;3;0
967;Cat-A;0;6
968;Cat-A;3;0
969;Cat-A;34;5
970;Cat-A;0;0
971;Cat-A;0;0
972;Cat-A;35;0
973;Cat-A;8;2
974;Cat-A;11;6
975;Cat-A;0;0
976;Cat-A;5;0
977;Cat-A;0;0
978;Cat-A;0;0
979;Cat-A;0;0
980;Cat-A;16;0
981;Cat-A;8;15
982;Cat-A;15;28
983;Cat-A;6;0
984;Cat-A;4;0
985;Cat-A;0;0
986;Cat-A;3;0
987;Cat-A;0;0
988;Cat-A;0;0
989;Cat-A;54;0
990;Cat-A;7;0
991;Cat-A;80;0
992;Cat-A;0;5
993;Cat-A;0;7
994;Cat-A;9;0
995;Cat-A;0;15
996;Cat-A;0;8
997;Cat-A;0;0
998;Cat-A;8;0
999;Cat-A;0;0
